,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,y
48,40-50,services,married,professional.course,no,no,no,cellular,aug,mon,2,0,no
49,30-40,services,married,high.school,no,no,yes,cellular,jul,fri,3,0,no
50,50+,retired,married,university.degree,no,yes,no,cellular,jun,wed,1,2,no
51,30-40,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,1,0,no
52,30-40,management,married,high.school,no,no,no,cellular,aug,fri,3,0,no
53,18-30,technician,married,university.degree,no,yes,yes,cellular,sep,tue,2,1,yes
54,30-40,admin.,single,university.degree,no,yes,no,cellular,may,thu,1,0,no
55,50+,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,thu,2,0,no
56,18-30,admin.,single,university.degree,no,yes,no,telephone,jun,fri,27,0,no
57,30-40,admin.,married,university.degree,no,yes,no,cellular,aug,thu,1,0,no
58,18-30,admin.,married,university.degree,no,no,no,telephone,may,wed,5,0,no
59,50+,admin.,divorced,professional.course,no,yes,no,cellular,sep,wed,1,1,yes
60,50+,entrepreneur,married,professional.course,no,yes,yes,cellular,oct,mon,1,2,no
61,30-40,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,2,0,no
62,50+,admin.,married,unknown,no,yes,no,telephone,apr,wed,1,1,yes
63,40-50,services,married,high.school,no,yes,no,cellular,apr,mon,1,0,no
64,40-50,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,2,0,no
65,30-40,admin.,single,university.degree,no,yes,no,cellular,jul,mon,3,0,no
66,40-50,technician,divorced,unknown,no,yes,yes,cellular,oct,thu,1,0,no
67,18-30,services,divorced,high.school,no,no,yes,telephone,jun,mon,3,0,no
68,30-40,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,2,1,yes
69,30-40,self-employed,married,university.degree,no,no,no,cellular,may,fri,1,1,no
70,30-40,technician,single,professional.course,unknown,no,no,telephone,jun,mon,4,0,yes
71,50+,services,married,high.school,unknown,yes,no,telephone,jul,mon,3,0,yes
72,18-30,admin.,single,high.school,no,yes,no,cellular,may,tue,3,0,no
73,30-40,management,married,university.degree,no,yes,no,cellular,may,wed,4,0,no
74,30-40,technician,single,high.school,no,yes,yes,cellular,aug,tue,1,0,yes
75,30-40,admin.,married,university.degree,no,yes,no,cellular,aug,thu,5,0,no
76,30-40,admin.,single,university.degree,no,yes,no,telephone,jun,wed,2,0,no
77,30-40,self-employed,single,university.degree,no,no,no,telephone,may,thu,2,0,no
78,30-40,unemployed,married,basic.9y,no,no,no,telephone,jun,fri,6,0,no
79,30-40,technician,single,university.degree,no,no,no,cellular,aug,tue,12,0,no
80,50+,technician,married,professional.course,unknown,yes,no,cellular,apr,mon,1,0,no
81,40-50,admin.,divorced,high.school,no,yes,no,telephone,jun,tue,2,0,no
82,50+,services,married,basic.4y,unknown,no,no,cellular,aug,thu,7,0,no
83,50+,retired,married,university.degree,no,yes,no,cellular,apr,thu,1,1,no
84,30-40,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,thu,1,0,no
85,40-50,admin.,married,university.degree,no,yes,no,telephone,may,tue,1,0,no
86,30-40,unemployed,single,university.degree,no,yes,yes,cellular,nov,tue,1,0,no
87,40-50,services,single,basic.9y,no,unknown,unknown,telephone,jun,thu,3,0,yes
88,40-50,admin.,single,university.degree,no,no,no,cellular,aug,thu,1,0,yes
89,30-40,blue-collar,married,basic.6y,no,yes,no,telephone,jul,wed,1,0,no
90,30-40,unemployed,single,high.school,no,yes,no,cellular,jul,mon,5,0,no
91,30-40,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,2,1,no
92,40-50,blue-collar,married,high.school,unknown,no,no,telephone,jun,tue,2,0,no
93,18-30,self-employed,married,university.degree,no,yes,no,telephone,may,fri,2,0,no
94,18-30,blue-collar,single,basic.6y,no,yes,no,telephone,jul,tue,5,0,no
95,40-50,management,married,professional.course,no,no,no,cellular,nov,tue,2,0,no
96,50+,retired,married,basic.6y,unknown,no,no,telephone,may,mon,3,0,no
97,30-40,technician,married,professional.course,no,yes,no,telephone,may,wed,6,0,no
98,50+,management,married,university.degree,no,no,no,cellular,jul,tue,2,0,no
99,50+,admin.,married,unknown,no,no,no,cellular,aug,tue,1,0,no
100,30-40,management,married,university.degree,unknown,no,yes,cellular,apr,fri,1,1,no
101,50+,admin.,married,high.school,unknown,yes,no,cellular,jul,tue,1,0,no
102,30-40,services,married,high.school,no,yes,yes,cellular,may,thu,3,0,no
103,30-40,admin.,single,unknown,no,yes,no,cellular,may,fri,1,0,no
104,30-40,services,single,basic.9y,no,yes,no,cellular,apr,thu,2,0,no
105,40-50,services,married,high.school,unknown,yes,no,cellular,may,fri,1,0,no
106,40-50,entrepreneur,married,professional.course,no,no,no,telephone,may,mon,1,0,no
107,30-40,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,2,0,no
108,30-40,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,1,0,no
109,40-50,management,married,university.degree,no,yes,no,cellular,jul,wed,1,0,no
110,50+,admin.,married,university.degree,no,yes,yes,cellular,jul,wed,1,0,no
111,50+,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,thu,2,0,no
112,30-40,blue-collar,married,basic.6y,no,yes,no,telephone,jun,wed,2,0,no
113,50+,management,married,university.degree,no,yes,yes,cellular,nov,wed,1,1,no
114,30-40,admin.,married,university.degree,no,no,no,telephone,jun,mon,2,0,no
115,40-50,entrepreneur,married,university.degree,no,yes,no,cellular,nov,tue,1,0,yes
116,40-50,management,divorced,basic.6y,no,yes,no,cellular,nov,thu,1,0,no
117,50+,services,married,high.school,unknown,no,no,telephone,may,thu,4,0,no
118,30-40,blue-collar,married,high.school,no,no,yes,cellular,jul,mon,4,0,no
119,50+,retired,married,basic.9y,no,no,yes,cellular,may,wed,1,0,no
120,18-30,self-employed,married,professional.course,no,yes,no,telephone,jun,wed,2,0,no
121,30-40,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,tue,1,1,no
122,18-30,services,single,high.school,no,no,no,cellular,jul,wed,1,0,no
123,50+,blue-collar,married,professional.course,no,yes,yes,cellular,may,fri,3,1,no
124,50+,entrepreneur,married,basic.4y,unknown,no,yes,telephone,may,thu,1,0,no
125,40-50,technician,divorced,basic.9y,unknown,no,no,cellular,jul,wed,2,0,no
126,30-40,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,1,1,no
127,40-50,admin.,married,basic.9y,unknown,yes,no,cellular,aug,thu,3,0,no
128,50+,retired,married,basic.4y,no,no,no,cellular,apr,tue,1,1,yes
129,30-40,self-employed,divorced,unknown,no,no,no,telephone,may,wed,4,0,no
130,18-30,management,married,university.degree,no,no,yes,cellular,aug,wed,2,0,no
131,40-50,management,married,university.degree,no,yes,no,cellular,may,thu,1,0,no
132,30-40,admin.,divorced,university.degree,no,no,no,cellular,apr,mon,1,0,yes
133,18-30,services,single,professional.course,no,yes,no,telephone,may,mon,1,0,no
134,40-50,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,0,no
135,50+,retired,divorced,high.school,no,yes,no,cellular,jun,tue,1,0,yes
136,30-40,admin.,married,university.degree,no,no,yes,telephone,may,wed,2,0,no
137,30-40,admin.,married,university.degree,no,no,no,cellular,nov,mon,2,0,no
139,50+,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,1,0,yes
140,50+,technician,divorced,professional.course,no,yes,yes,cellular,jul,tue,14,0,no
141,30-40,technician,divorced,professional.course,no,yes,no,cellular,nov,tue,1,0,no
142,40-50,admin.,married,high.school,no,yes,no,cellular,jul,fri,6,0,no
143,18-30,technician,single,professional.course,no,yes,no,cellular,aug,thu,2,1,yes
144,30-40,services,single,high.school,no,yes,no,telephone,may,fri,1,0,no
145,40-50,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,2,0,no
146,30-40,services,married,high.school,no,no,yes,cellular,nov,thu,1,0,no
147,30-40,technician,married,basic.9y,unknown,no,yes,telephone,may,thu,4,0,no
148,50+,unknown,married,basic.9y,no,no,yes,cellular,nov,wed,1,1,no
149,30-40,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,1,0,no
150,50+,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,3,2,yes
151,18-30,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,1,0,no
152,18-30,admin.,married,high.school,unknown,yes,no,cellular,nov,wed,3,0,no
153,30-40,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,1,3,yes
154,30-40,technician,single,university.degree,no,yes,no,cellular,aug,wed,1,0,no
155,50+,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,1,0,no
156,30-40,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,1,0,no
157,40-50,services,married,unknown,no,yes,no,cellular,aug,thu,2,0,no
158,40-50,technician,single,unknown,no,no,no,cellular,jul,tue,2,0,no
159,30-40,admin.,single,high.school,no,yes,yes,cellular,may,wed,1,0,no
160,30-40,unemployed,married,high.school,no,yes,no,cellular,nov,thu,1,0,no
161,40-50,admin.,single,high.school,no,yes,no,cellular,nov,mon,2,2,no
162,40-50,admin.,single,high.school,no,no,no,cellular,may,mon,2,0,no
163,30-40,admin.,single,high.school,no,no,no,cellular,nov,mon,2,2,no
164,50+,services,divorced,high.school,unknown,no,no,cellular,nov,mon,1,0,no
165,40-50,admin.,married,high.school,no,yes,no,cellular,oct,fri,3,1,yes
166,30-40,admin.,married,university.degree,no,yes,no,cellular,may,fri,2,0,no
167,50+,blue-collar,divorced,basic.4y,unknown,no,no,cellular,aug,thu,1,0,no
168,40-50,services,married,high.school,no,yes,no,telephone,may,fri,2,0,no
169,40-50,admin.,married,high.school,no,yes,yes,telephone,jun,wed,10,0,no
170,40-50,blue-collar,married,professional.course,no,no,no,cellular,nov,fri,1,0,no
171,30-40,admin.,married,university.degree,no,yes,no,cellular,aug,tue,6,0,no
172,50+,services,married,professional.course,unknown,no,no,cellular,aug,mon,2,0,no
173,40-50,services,single,high.school,unknown,unknown,unknown,cellular,may,mon,2,1,no
174,40-50,technician,married,professional.course,no,no,no,telephone,may,fri,3,0,no
175,40-50,technician,married,university.degree,no,yes,no,cellular,aug,wed,7,0,no
176,30-40,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,2,0,no
177,50+,retired,single,professional.course,no,yes,no,telephone,may,mon,1,0,no
178,18-30,admin.,single,unknown,no,no,no,cellular,mar,tue,1,1,yes
179,50+,blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,1,0,yes
180,30-40,management,married,university.degree,no,yes,yes,telephone,jun,wed,1,0,no
181,40-50,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,1,0,no
182,50+,technician,married,unknown,no,yes,no,telephone,jun,fri,3,0,no
183,40-50,management,married,basic.4y,unknown,yes,no,telephone,may,fri,1,0,no
184,50+,retired,married,high.school,no,no,no,cellular,may,mon,1,0,no
186,40-50,admin.,married,high.school,no,yes,no,cellular,aug,fri,1,0,no
187,40-50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,3,1,yes
188,50+,self-employed,married,high.school,no,no,no,cellular,aug,tue,3,0,no
189,50+,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,1,0,no
190,18-30,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,1,0,no
191,40-50,housemaid,married,basic.4y,unknown,yes,no,telephone,jun,fri,8,0,no
192,40-50,technician,married,professional.course,unknown,yes,no,telephone,jun,mon,11,0,no
193,40-50,services,single,basic.9y,no,no,no,cellular,nov,tue,2,0,no
194,30-40,blue-collar,married,basic.6y,no,yes,no,cellular,apr,fri,1,1,no
195,50+,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,1,1,no
196,40-50,blue-collar,divorced,high.school,no,yes,yes,cellular,jul,mon,2,0,yes
197,40-50,technician,married,professional.course,no,no,no,telephone,may,tue,1,0,no
198,30-40,technician,married,university.degree,no,yes,no,cellular,may,wed,1,0,no
199,30-40,student,single,university.degree,no,no,no,cellular,nov,thu,2,0,no
200,18-30,student,single,high.school,no,no,no,cellular,aug,tue,1,1,no
201,40-50,admin.,divorced,basic.9y,unknown,no,no,telephone,may,wed,1,0,no
202,40-50,self-employed,married,university.degree,no,yes,no,cellular,nov,fri,3,0,no
203,50+,services,married,basic.9y,no,no,no,cellular,aug,wed,13,0,no
204,18-30,admin.,single,high.school,no,yes,no,telephone,nov,mon,1,1,no
205,18-30,blue-collar,single,basic.6y,unknown,yes,no,telephone,jun,wed,1,0,no
206,50+,management,married,basic.4y,no,yes,no,cellular,nov,wed,1,0,no
207,30-40,management,married,university.degree,no,yes,no,cellular,nov,wed,2,0,no
208,40-50,services,married,professional.course,no,yes,no,telephone,may,tue,4,0,no
209,18-30,blue-collar,married,unknown,no,no,no,telephone,may,wed,2,0,no
210,40-50,entrepreneur,married,university.degree,unknown,yes,no,cellular,jul,tue,1,0,no
211,40-50,services,married,high.school,unknown,yes,no,cellular,jul,mon,4,0,no
212,30-40,technician,married,professional.course,no,no,no,cellular,jul,tue,1,0,no
213,40-50,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,fri,1,1,no
214,18-30,admin.,married,university.degree,no,no,no,cellular,may,tue,3,1,no
215,18-30,services,single,university.degree,no,no,no,cellular,jul,thu,6,0,no
216,40-50,management,married,university.degree,unknown,yes,yes,cellular,apr,fri,1,0,no
217,18-30,admin.,single,university.degree,no,yes,no,cellular,aug,mon,1,0,no
218,50+,blue-collar,married,basic.9y,unknown,no,no,cellular,nov,tue,2,0,no
219,50+,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,1,0,no
220,18-30,student,single,high.school,no,no,yes,cellular,jul,fri,2,0,no
221,30-40,entrepreneur,single,university.degree,no,no,yes,cellular,nov,thu,1,0,no
222,40-50,admin.,married,professional.course,unknown,no,no,cellular,jul,thu,3,0,no
223,30-40,management,married,basic.6y,unknown,no,no,telephone,jun,mon,5,0,no
224,50+,blue-collar,divorced,unknown,no,no,no,cellular,jul,tue,8,0,no
225,30-40,technician,single,professional.course,no,yes,no,cellular,may,mon,3,1,no
226,50+,retired,married,basic.4y,no,no,no,telephone,apr,tue,4,0,no
227,30-40,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,2,0,no
228,50+,retired,single,basic.4y,no,no,no,cellular,nov,mon,4,1,yes
229,40-50,unknown,single,basic.9y,unknown,yes,no,telephone,jun,mon,3,0,no
230,18-30,blue-collar,married,unknown,no,no,no,telephone,may,fri,2,0,no
231,30-40,services,married,high.school,unknown,no,no,telephone,jun,fri,1,0,no
232,40-50,unemployed,married,unknown,no,no,no,telephone,jun,fri,3,0,no
233,30-40,admin.,single,university.degree,no,yes,no,cellular,aug,thu,4,0,yes
234,50+,retired,married,basic.4y,no,yes,no,cellular,aug,fri,1,0,no
235,18-30,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,3,0,no
236,30-40,blue-collar,single,basic.6y,no,yes,no,cellular,may,fri,2,0,no
237,50+,services,married,high.school,unknown,yes,no,cellular,aug,thu,1,0,no
238,40-50,services,married,high.school,no,no,no,cellular,mar,wed,6,0,yes
239,50+,unknown,married,basic.4y,no,no,yes,cellular,jul,thu,1,0,no
240,40-50,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,1,0,no
241,30-40,technician,married,professional.course,no,no,no,cellular,jul,thu,4,0,no
242,30-40,services,married,high.school,unknown,no,no,cellular,jul,mon,3,0,no
243,50+,management,married,university.degree,no,no,no,cellular,aug,mon,4,0,no
244,30-40,technician,single,professional.course,no,yes,no,cellular,may,thu,1,0,no
245,40-50,blue-collar,divorced,basic.6y,unknown,yes,no,cellular,may,thu,1,0,no
246,30-40,housemaid,single,university.degree,no,no,no,telephone,jun,thu,2,0,no
247,40-50,admin.,married,basic.9y,no,no,no,telephone,apr,mon,3,1,no
248,30-40,self-employed,married,basic.9y,no,yes,yes,cellular,nov,thu,3,0,no
249,40-50,admin.,married,high.school,no,no,no,telephone,may,wed,3,0,no
250,40-50,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,2,0,no
251,30-40,admin.,married,university.degree,no,yes,no,cellular,sep,fri,1,0,no
252,18-30,technician,married,professional.course,no,no,no,cellular,jul,thu,9,0,no
253,30-40,management,married,unknown,no,no,no,telephone,may,fri,3,0,no
254,18-30,technician,single,university.degree,no,yes,yes,telephone,jun,mon,6,0,no
255,18-30,management,married,university.degree,no,yes,yes,cellular,aug,tue,2,0,no
257,50+,blue-collar,married,unknown,unknown,yes,no,telephone,may,tue,2,0,no
258,18-30,admin.,single,high.school,no,yes,no,cellular,jul,wed,1,0,no
259,30-40,self-employed,married,university.degree,no,yes,yes,cellular,aug,wed,2,0,no
260,50+,technician,married,basic.9y,no,no,no,cellular,jul,tue,1,0,no
261,30-40,technician,married,professional.course,no,yes,no,cellular,jul,thu,1,0,yes
262,50+,admin.,married,professional.course,no,no,no,cellular,nov,tue,2,1,yes
263,50+,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,1,0,yes
264,18-30,admin.,single,university.degree,unknown,yes,no,cellular,aug,tue,5,0,no
265,50+,services,married,high.school,unknown,no,no,cellular,aug,tue,1,0,no
266,18-30,unemployed,single,university.degree,no,no,no,telephone,jun,wed,2,0,no
267,18-30,unemployed,married,high.school,no,yes,no,cellular,jul,tue,3,0,no
268,40-50,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,1,0,no
269,40-50,housemaid,married,high.school,no,no,no,telephone,jun,tue,1,0,no
270,30-40,admin.,single,university.degree,no,no,no,cellular,aug,mon,2,0,no
271,40-50,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,1,0,no
272,50+,retired,unknown,basic.4y,no,no,no,telephone,may,tue,1,0,no
273,18-30,services,married,high.school,no,no,no,telephone,jun,mon,3,0,no
274,18-30,technician,single,high.school,no,yes,yes,cellular,apr,thu,4,1,no
275,30-40,services,married,high.school,unknown,yes,no,telephone,may,tue,1,0,no
276,40-50,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,1,0,no
277,18-30,admin.,single,university.degree,no,yes,no,cellular,nov,tue,1,0,no
278,18-30,student,single,basic.9y,no,yes,no,cellular,aug,wed,1,0,no
279,18-30,entrepreneur,married,university.degree,no,yes,no,cellular,aug,thu,1,0,no
280,40-50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,1,0,no
281,50+,management,married,basic.4y,unknown,yes,yes,telephone,may,tue,1,0,no
282,30-40,self-employed,single,university.degree,no,no,no,cellular,aug,mon,1,2,no
283,40-50,self-employed,married,basic.9y,no,no,no,telephone,may,wed,2,0,no
284,50+,technician,married,high.school,no,yes,no,telephone,may,mon,2,0,no
285,18-30,housemaid,single,high.school,unknown,yes,yes,telephone,jul,thu,1,0,no
286,18-30,blue-collar,married,basic.9y,no,yes,yes,telephone,may,fri,6,0,no
287,30-40,blue-collar,single,basic.6y,no,no,no,cellular,nov,thu,1,1,no
288,50+,technician,married,professional.course,no,no,no,cellular,jun,thu,4,1,yes
289,18-30,blue-collar,married,basic.6y,unknown,no,no,telephone,may,thu,1,0,no
290,30-40,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,2,0,no
291,40-50,admin.,married,professional.course,no,no,no,cellular,apr,fri,1,1,no
292,18-30,technician,single,university.degree,no,yes,no,cellular,jul,fri,3,2,yes
293,30-40,management,married,university.degree,no,yes,no,cellular,aug,thu,6,0,no
294,50+,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,tue,2,0,no
295,30-40,management,married,university.degree,no,yes,no,cellular,may,tue,1,0,no
296,18-30,admin.,single,university.degree,no,yes,yes,telephone,may,wed,2,0,no
297,18-30,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,1,1,no
298,40-50,technician,single,unknown,unknown,no,no,telephone,may,thu,7,0,no
299,18-30,unemployed,single,university.degree,no,yes,no,cellular,may,mon,1,0,no
300,30-40,technician,married,professional.course,no,no,no,telephone,may,thu,4,0,no
301,50+,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,thu,1,0,no
302,50+,retired,married,basic.9y,no,no,no,cellular,aug,tue,4,0,yes
303,18-30,admin.,single,high.school,unknown,yes,no,telephone,jul,thu,1,0,no
304,30-40,self-employed,married,university.degree,no,no,no,telephone,may,wed,2,0,no
305,30-40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,1,0,no
306,50+,blue-collar,divorced,unknown,unknown,yes,no,telephone,jun,thu,3,0,no
307,18-30,admin.,single,university.degree,no,no,no,telephone,jun,wed,2,0,no
308,30-40,blue-collar,married,basic.9y,unknown,no,no,cellular,may,wed,3,1,yes
309,40-50,admin.,married,university.degree,no,yes,no,cellular,nov,wed,1,0,no
310,30-40,admin.,single,university.degree,no,yes,no,cellular,aug,thu,1,0,no
311,40-50,admin.,married,university.degree,no,yes,yes,cellular,jul,fri,2,0,no
312,18-30,technician,married,university.degree,unknown,yes,no,telephone,may,wed,3,0,no
313,40-50,admin.,divorced,high.school,no,no,no,telephone,may,tue,2,0,no
314,50+,retired,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,1,0,no
315,18-30,admin.,single,university.degree,no,yes,no,cellular,mar,mon,1,0,yes
316,18-30,blue-collar,single,high.school,no,yes,no,telephone,jun,mon,2,0,no
317,18-30,admin.,married,university.degree,no,no,no,telephone,may,tue,2,0,no
318,50+,admin.,married,university.degree,no,yes,no,telephone,may,thu,3,0,no
319,30-40,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,tue,1,0,no
320,30-40,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,1,1,no
321,40-50,housemaid,divorced,basic.6y,no,yes,no,telephone,jun,tue,8,0,no
322,30-40,admin.,divorced,university.degree,no,no,no,telephone,jun,fri,3,0,no
323,30-40,services,married,high.school,no,no,no,cellular,jul,thu,1,0,no
324,30-40,blue-collar,married,high.school,no,yes,no,telephone,may,wed,1,0,no
325,18-30,admin.,married,university.degree,no,no,no,telephone,may,fri,1,0,no
326,18-30,admin.,single,university.degree,unknown,yes,no,cellular,may,fri,10,0,no
327,50+,technician,married,professional.course,unknown,no,no,telephone,jul,tue,15,0,no
328,50+,services,married,high.school,no,yes,no,cellular,may,mon,2,0,no
329,30-40,admin.,single,university.degree,no,no,no,cellular,aug,wed,1,0,no
330,50+,admin.,married,university.degree,no,no,no,cellular,jul,thu,5,0,no
331,18-30,self-employed,single,university.degree,no,no,no,telephone,may,tue,3,0,no
332,40-50,entrepreneur,married,university.degree,no,no,no,telephone,may,wed,4,0,no
333,50+,management,married,university.degree,no,yes,no,cellular,apr,tue,1,0,no
334,30-40,blue-collar,divorced,basic.6y,unknown,no,no,cellular,may,wed,1,0,no
335,50+,entrepreneur,divorced,university.degree,unknown,no,no,cellular,may,fri,1,1,no
336,30-40,admin.,married,high.school,no,no,no,telephone,may,mon,3,0,no
337,40-50,unemployed,married,university.degree,unknown,yes,no,telephone,may,tue,1,0,no
338,50+,retired,married,basic.4y,no,no,no,cellular,may,mon,2,0,yes
339,40-50,technician,divorced,professional.course,no,yes,no,cellular,may,mon,1,0,no
340,30-40,admin.,married,high.school,no,yes,no,cellular,jun,wed,1,2,yes
341,40-50,technician,married,high.school,no,yes,no,cellular,aug,tue,1,0,no
342,18-30,services,married,basic.6y,no,no,no,cellular,nov,tue,2,0,no
343,18-30,services,single,basic.9y,unknown,no,yes,telephone,jun,mon,2,0,no
344,50+,unknown,married,unknown,unknown,yes,no,cellular,aug,fri,5,0,no
345,40-50,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,5,1,no
346,50+,self-employed,married,basic.4y,unknown,no,yes,telephone,may,wed,7,0,no
347,30-40,blue-collar,married,high.school,unknown,no,no,cellular,jul,mon,3,0,no
348,40-50,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,mon,1,0,no
349,50+,admin.,divorced,university.degree,unknown,no,no,telephone,aug,fri,1,0,no
